Id,transcription,normalized_transcription
2013.wav,dial,dial
2014.wav,He has played very well,he has played very well
2015.wav,You want him to do well,you want him to do well
2016.wav,weep,weep
2017.wav,chair,chair
2018.wav,hold,hold
2019.wav,shot,shot
2020.wav,Will you please describe the idiotic predicament,will you please describe the idiotic predicament
2021.wav,Catastrophic economic cutbacks neglect the poor,catastrophic economic cutbacks neglect the poor
2022.wav,tear ,tear 
2023.wav,rock,rock
2024.wav,The box contained three sweaters,the box contained three sweaters
2025.wav,it,it
2026.wav,Grandmother outgrew her upbringing in petticoats,grandmother outgrew her upbringing in petticoats
2027.wav,chip,chip
2028.wav,call,call
2029.wav,Day after day some new episode is reported,day after day some new episode is reported
2030.wav,boast,boast
2031.wav,spark,spark
2032.wav,mole,mole
2033.wav,I scream to warm up my voice,i scream to warm up my voice
2034.wav,heat,heat
2035.wav,The misguided souls have lost their way,the misguided souls have lost their way
2036.wav,rake,rake
2037.wav,fender,fender
2038.wav,take,take
2039.wav,feet,feet
2040.wav,peach,peach
2041.wav,hid,hid
2042.wav,Look for pockets of black sand,look for pockets of black sand
2043.wav,Flying standby can be practical if you want to save money,flying standby can be practical if you want to save money
2044.wav,rust,rust
2045.wav,Chocolate and roses never fail as a romantic gift,chocolate and roses never fail as a romantic gift
2046.wav,She was really shook up,she was really shook up
2047.wav,wide,wide
2048.wav,stretch,stretch
2049.wav,eat,eat
2050.wav,pink,pink
2051.wav,globe,globe
2052.wav,Can you paint a room or a portrait,can you paint a room or a portrait
2053.wav,pitting,pitting
2054.wav,he,he
2055.wav,lies,lies
2056.wav,sin,sin
2057.wav,Only the most accomplished artists obtain popularity,only the most accomplished artists obtain popularity
2058.wav,cheese,cheese
2059.wav,litter,litter
2060.wav,shoot,shoot
2061.wav,boat,boat
2062.wav,blow,blow
2063.wav,Nobody really expects to evacuate,nobody really expects to evacuate
2064.wav,ease,ease
2065.wav,fit,fit
2066.wav,end,end
2067.wav,soul,soul
2068.wav,It requires no big investment,it requires no big investment
2069.wav,We bought a brown chair,we bought a brown chair
2070.wav,contrast,contrast
2071.wav,timber,timber
2072.wav,hash,hash
2073.wav,slid,slid
2074.wav,hat,hat
2075.wav,rain,rain
2076.wav,That's what I thought it was at first,thats what i thought it was at first
2077.wav,league,league
2078.wav,sip,sip
2079.wav,cakes,cakes
2080.wav,each,each
2081.wav,rise,rise
2082.wav,ray,ray
2083.wav,Unfortunately there is still little demand for broccoli and cauliflower,unfortunately there is still little demand for broccoli and cauliflower
2084.wav,full,full
2085.wav,boot,boot
2086.wav,Boone,boone
2087.wav,Alimony harms a divorced man's wealth,alimony harms a divorced mans wealth
2088.wav,ticks,ticks
2089.wav,bit,bit
2090.wav,The sun died at night,the sun died at night
2091.wav,beg,beg
2092.wav,Challenge each general's intelligence,challenge each generals intelligence
2093.wav,Only two seemed really appealing to me,only two seemed really appealing to me
2094.wav,geese,geese
2095.wav,dart,dart
2096.wav,Be prepared for odd behavior from friends,be prepared for odd behavior from friends
2097.wav,fold,fold
2098.wav,racks,racks
2099.wav,Swing your arm as high as you can,swing your arm as high as you can
2100.wav,in,in
2101.wav,Both cars were slightly damaged,both cars were slightly damaged
2102.wav,I don't think it's a good idea,i dont think its a good idea
2103.wav,arm,arm
2104.wav,cash,cash
2105.wav,punch,punch
2106.wav,rake,rake
2107.wav,dock,dock
2108.wav,heat,heat
2109.wav,occur,occur
2110.wav,Ned,ned
2111.wav,The legislature met to judge the state of public education,the legislature met to judge the state of public education
2112.wav,wine,wine
2113.wav,sit,sit
2114.wav,waste,waste
2115.wav,ache,ache
2116.wav,coat,coat
2117.wav,Those people are much quicker than I am,those people are much quicker than i am
2118.wav,blow,blow
2119.wav,Please open the window quickly,please open the window quickly
2120.wav,sitting,sitting
2121.wav,meat,meat
2122.wav,sheet,sheet
2123.wav,forward,forward
2124.wav,geese,geese
2125.wav,He is definitely a notch above us,he is definitely a notch above us
2126.wav,Spain,spain
2127.wav,sake,sake
2128.wav,lip,lip
2129.wav,You can ride stagecoach,you can ride stagecoach
2130.wav,This is a period of transition for me,this is a period of transition for me
2131.wav,born,born
2132.wav,Being able to dance can help too,being able to dance can help too
2133.wav,no,no
2134.wav,had,had
2135.wav,That's what life is really all about,thats what life is really all about
2136.wav,pit,pit
2137.wav,all,all
2138.wav,woe,woe
2139.wav,aches,aches
2140.wav,Most young rise early every morning,most young rise early every morning
2141.wav,Eat your raisins outdoors on the porch steps,eat your raisins outdoors on the porch steps
2142.wav,grange,grange
2143.wav,A few may be hard to find,a few may be hard to find
2144.wav,air,air
2145.wav,We selected places where families will be welcome,we selected places where families will be welcome
2146.wav,reef,reef
2147.wav,porch,porch
2148.wav,sticks,sticks
2149.wav,I didn't know where they were coming from,i didnt know where they were coming from
2150.wav,Basketball can be an entertaining sport,basketball can be an entertaining sport
2151.wav,leap,leap
2152.wav,bloat,bloat
2153.wav,sell,sell
2154.wav,zip,zip
2155.wav,tile,tile
2156.wav,nice,nice
2157.wav,beef,beef
2158.wav,This is not a program of socialized medicine,this is not a program of socialized medicine
2159.wav,The structures housing the apartments are of masonry and frame construction,the structures housing the apartments are of masonry and frame construction
2160.wav,tore,tore
2161.wav,deserve,deserve
2162.wav,shop,shop
2163.wav,lax,lax
2164.wav,Suddenly my reflexes are gone,suddenly my reflexes are gone
2165.wav,cheer,cheer
2166.wav,sheet,sheet
2167.wav,fill,fill
2168.wav,cold,cold
2169.wav,This he added brought about petty jealousies and petty personal grievances,this he added brought about petty jealousies and petty personal grievances
2170.wav,converge,converge
2171.wav,The prowler wore a ski mask for disguise,the prowler wore a ski mask for disguise
2172.wav,is,is
2173.wav,reap,reap
2174.wav,sink,sink
2175.wav,wives,wives
2176.wav,repress,repress
2177.wav,why,why
2178.wav,sink,sink
2179.wav,wax,wax
2180.wav,He really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss
2181.wav,ache,ache
2182.wav,Porcupines resemble sea urchins,porcupines resemble sea urchins
2183.wav,six,six
2184.wav,I was pleased with the way things went,i was pleased with the way things went
2185.wav,The store serves meals every day,the store serves meals every day
2186.wav,munch,munch
2187.wav,tea,tea
2188.wav,ache,ache
2189.wav,sight,sight
2190.wav,When you are through write a clean report,when you are through write a clean report
2191.wav,sold,sold
2192.wav,We must be ready for any needed sacrifice,we must be ready for any needed sacrifice
2193.wav,spit,spit
2194.wav,serve,serve
2195.wav,at,at
2196.wav,pale,pale
2197.wav,eight,eight
2198.wav,wit,wit
2199.wav,and,and
2200.wav,It eventually became a rather proud claim,it eventually became a rather proud claim
2201.wav,hash,hash
2202.wav,They received all the things they needed,they received all the things they needed
2203.wav,Mabel,mabel
2204.wav,able,able
2205.wav,rage,rage
2206.wav,cash,cash
2207.wav,knock,knock
2208.wav,Elderly people are often excluded,elderly people are often excluded
2209.wav,I think I'm full of this stuff,i think im full of this stuff
2210.wav,Barb's gold bracelet was a graduation present,barbs gold bracelet was a graduation present
2211.wav,It's illegal to postdate a check,its illegal to postdate a check
2212.wav,tall,tall
2213.wav,vamp,vamp
2214.wav,retract,retract
2215.wav,cart,cart
2216.wav,pull,pull
2217.wav,knot,knot
2218.wav,reap,reap
2219.wav,pretty,pretty
2220.wav,lima,lima
2221.wav,weave,weave
2222.wav,shell,shell
2223.wav,tread,tread
2224.wav,seeds,seeds
2225.wav,lip,lip
2226.wav,That's the name of the game,thats the name of the game
2227.wav,sergeant,sergeant
2228.wav,They either walked or were driven,they either walked or were driven
2229.wav,four,four
2230.wav,best,best
2231.wav,mike,mike
2232.wav,dock,dock
2233.wav,slim,slim
2234.wav,The golfing fathers ruled in his favor,the golfing fathers ruled in his favor
2235.wav,back,back
2236.wav,meat,meat
2237.wav,sand,sand
2238.wav,blend,blend
2239.wav,eat,eat
2240.wav,bread,bread
2241.wav,I'm willing to experiment for the first time,im willing to experiment for the first time
2242.wav,bend,bend
2243.wav,fat,fat
2244.wav,find,find
2245.wav,written,written
2246.wav,harm,harm
2247.wav,harp,harp
2248.wav,left,left
2249.wav,see,see
2250.wav,bunch,bunch
2251.wav,leak,leak
2252.wav,dock,dock
2253.wav,Hiring the wife for one's company may win her taxaided retirement income,hiring the wife for ones company may win her taxaided retirement income
2254.wav,catch,catch
2255.wav,There is a treehouse up above,there is a treehouse up above
2256.wav,Gently place Jim's foam sculpture in the box,gently place jims foam sculpture in the box
2257.wav,liquor,liquor
2258.wav,beast,beast
2259.wav,sign,sign
2260.wav,low,low
2261.wav,tort,tort
2262.wav,preach,preach
2263.wav,He further proposed grants of an unspecified sum for experimental hospitals,he further proposed grants of an unspecified sum for experimental hospitals
2264.wav,hall,hall
2265.wav,We talked about the situation,we talked about the situation
2266.wav,He asked you for a loan,he asked you for a loan
2267.wav,chop,chop
2268.wav,ail,ail
2269.wav,loyal,loyal
2270.wav,Have no fear if you come alone,have no fear if you come alone
2271.wav,They could walk ride on a bus or be driven,they could walk ride on a bus or be driven
2272.wav,brain,brain
2273.wav,He can't abide mistakes in his own game,he cant abide mistakes in his own game
2274.wav,Even a simple vocabulary contains symbols,even a simple vocabulary contains symbols
2275.wav,seven,seven
2276.wav,vat,vat
2277.wav,full,full
2278.wav,short,short
2279.wav,Maybe it's taking longer to get things squared away than the bankers expected,maybe its taking longer to get things squared away than the bankers expected
2280.wav,I said I'd put on weight,i said id put on weight
2281.wav,Old telephone booths aren't easy to find,old telephone booths arent easy to find
2282.wav,side,side
2283.wav,sea,sea
2284.wav,temper,temper
2285.wav,beep,beep
2286.wav,cake,cake
2287.wav,three,three
2288.wav,menu,menu
2289.wav,fitting,fitting
2290.wav,I loved every minute of it,i loved every minute of it
2291.wav,We knew we weren't doing well,we knew we werent doing well
2292.wav,Any contributions will be greatly appreciated,any contributions will be greatly appreciated
2293.wav,one,one
2294.wav,see,see
2295.wav,hark,hark
2296.wav,docks,docks
2297.wav,book,book
2298.wav,subtract,subtract
2299.wav,lid,lid
2300.wav,fort,fort
2301.wav,lair,lair
2302.wav,row,row
2303.wav,She is not sure what to expect,she is not sure what to expect
2304.wav,She makes other trips for pleasure,she makes other trips for pleasure
2305.wav,select,select
2306.wav,train,train
2307.wav,thorn,thorn
2308.wav,farm,farm
2309.wav,It's hard to tell an original from a forgery,its hard to tell an original from a forgery
2310.wav,The plot is laced with mysterious incidents,the plot is laced with mysterious incidents
2311.wav,naval,naval
2312.wav,sheer,sheer
2313.wav,Worse luck was still to come,worse luck was still to come
2314.wav,all,all
2315.wav,hall,hall
2316.wav,A good attitude is unbeatable,a good attitude is unbeatable
2317.wav,tort,tort
2318.wav,mall,mall
2319.wav,grain,grain
2320.wav,seat,seat
2321.wav,knot,knot
2322.wav,five,five
2323.wav,tug,tug
2324.wav,dash,dash
2325.wav,lisp,lisp
2326.wav,ball,ball
2327.wav,lend,lend
2328.wav,at,at
2329.wav,sin,sin
2330.wav,side,side
2331.wav,sap,sap
2332.wav,ladle,ladle
2333.wav,Addition and subtraction are learned skills,addition and subtraction are learned skills
2334.wav,The museum hires musicians every evening,the museum hires musicians every evening
2335.wav,The eastern coast is a place for pure pleasure and excitement,the eastern coast is a place for pure pleasure and excitement
2336.wav,said,said
2337.wav,rich,rich
2338.wav,tin,tin
2339.wav,fork,fork
2340.wav,eyes,eyes
2341.wav,Critical equipment needs proper maintenance,critical equipment needs proper maintenance
2342.wav,leak,leak
2343.wav,Night after night they received annoying phone calls,night after night they received annoying phone calls
2344.wav,pit,pit
2345.wav,Whitecapped waves covered the entire bay,whitecapped waves covered the entire bay
2346.wav,rise,rise
2347.wav,boot,boot
2348.wav,spit,spit
2349.wav,There is such a program,there is such a program
2350.wav,wipe,wipe
2351.wav,sat,sat
2352.wav,barn,barn
2353.wav,limb,limb
2354.wav,five,five
2355.wav,sketch,sketch
2356.wav,Gold can be found anywhere,gold can be found anywhere
2357.wav,Aluminum silverware can often be flimsy,aluminum silverware can often be flimsy
2358.wav,steak,steak
2359.wav,ease,ease
2360.wav,hotel,hotel
2361.wav,refer,refer
2362.wav,quicker,quicker
2363.wav,funnel,funnel
2364.wav,nod,nod
2365.wav,fell,fell
2366.wav,Try to work things out,try to work things out
2367.wav,The new highway is straight and empty,the new highway is straight and empty
2368.wav,The misprint provoked an immediate disclaimer,the misprint provoked an immediate disclaimer
2369.wav,feel,feel
2370.wav,cork,cork
2371.wav,renter,renter
2372.wav,Upgrade your status to reflect your wealth,upgrade your status to reflect your wealth
2373.wav,sprain,sprain
2374.wav,court,court
2375.wav,screech,screech
2376.wav,at,at
2377.wav,The prospect of cutting back spending is an unpleasant one for any governor,the prospect of cutting back spending is an unpleasant one for any governor
2378.wav,dread,dread
2379.wav,hail,hail
2380.wav,gable,gable
2381.wav,grape,grape
2382.wav,bread,bread
2383.wav,pad,pad
2384.wav,hall,hall
2385.wav,My instructions desperately need updating,my instructions desperately need updating
2386.wav,Yet he remains the fiercest of competitors,yet he remains the fiercest of competitors
2387.wav,hotel,hotel
2388.wav,hitting,hitting
2389.wav,The pair of shoes was new,the pair of shoes was new
2390.wav,hand,hand
2391.wav,witch,witch
2392.wav,tall,tall
2393.wav,pant,pant
2394.wav,and,and
2395.wav,six,six
2396.wav,sail,sail
2397.wav,fell,fell
2398.wav,rakes,rakes
2399.wav,said,said
2400.wav,owl,owl
2401.wav,ham,ham
2402.wav,It's fun to roast marshmallows on a gas burner,its fun to roast marshmallows on a gas burner
2403.wav,part,part
2404.wav,Most weeds grow strong and fast,most weeds grow strong and fast
2405.wav,We had a picnic on the beach,we had a picnic on the beach
2406.wav,papa,papa
2407.wav,beat,beat
2408.wav,Displayed as lamps the puppets delight the children and are decorative accent,displayed as lamps the puppets delight the children and are decorative accent
2409.wav,I called two different painters,i called two different painters
2410.wav,foil,foil
2411.wav,witch,witch
2412.wav,The singer's finger had a splinter,the singers finger had a splinter
2413.wav,sheet,sheet
2414.wav,nest,nest
2415.wav,seam,seam
2416.wav,wax,wax
2417.wav,grave,grave
2418.wav,brought,brought
2419.wav,sing,sing
2420.wav,I soon found myself muttering to the walls,i soon found myself muttering to the walls
2421.wav,spit,spit
2422.wav,The wait for work can be very long,the wait for work can be very long
2423.wav,Begin by trying to speak up more,begin by trying to speak up more
2424.wav,I have had my bell rung,i have had my bell rung
2425.wav,was,was
2426.wav,shawl,shawl
2427.wav,bun,bun
2428.wav,There was only one decision to be made,there was only one decision to be made
2429.wav,There was no confirmation of such massive assaults from independent sources,there was no confirmation of such massive assaults from independent sources
2430.wav,left,left
2431.wav,yes,yes
2432.wav,reap,reap
2433.wav,final,final
2434.wav,harm,harm
2435.wav,hail,hail
2436.wav,wicker,wicker
2437.wav,pit,pit
2438.wav,had,had
2439.wav,This is a good place though small,this is a good place though small
2440.wav,grain,grain
2441.wav,brawn,brawn
2442.wav,The four brothers looked identical,the four brothers looked identical
2443.wav,Fill that canteen with fresh spring water,fill that canteen with fresh spring water
2444.wav,mitten,mitten
2445.wav,eight,eight
2446.wav,lock,lock
2447.wav,grow,grow
2448.wav,bunch,bunch
2449.wav,The dolphins swam around our boat,the dolphins swam around our boat
2450.wav,She doesn't like to have it hanging around,she doesnt like to have it hanging around
2451.wav,phone,phone
2452.wav,The books are very expensive,the books are very expensive
2453.wav,hold,hold
2454.wav,six,six
2455.wav,beat,beat
2456.wav,The staff deserves a lot of credit working down here under real obstacles,the staff deserves a lot of credit working down here under real obstacles
2457.wav,geese,geese
2458.wav,night,night
2459.wav,sew,sew
2460.wav,hand,hand
2461.wav,sable,sable
2462.wav,red,red
2463.wav,cork,cork
2464.wav,mill,mill
2465.wav,bumper,bumper
2466.wav,strange,strange
2467.wav,Who knows what you'll discover about yourself,who knows what youll discover about yourself
2468.wav,bill,bill
2469.wav,Last year's gas shortage caused steep price increases,last years gas shortage caused steep price increases
2470.wav,bow ,bow 
2471.wav,whip,whip
2472.wav,ash,ash
2473.wav,conserve,conserve
2474.wav,romeo,romeo
2475.wav,The strike spread through much of the state,the strike spread through much of the state
2476.wav,absurd,absurd
2477.wav,knife,knife
2478.wav,rattle,rattle
2479.wav,flicker,flicker
2480.wav,Help Greg to pick a peck of potatoes,help greg to pick a peck of potatoes
2481.wav,leak,leak
2482.wav,sierra,sierra
2483.wav,feed,feed
2484.wav,lender,lender
2485.wav,no,no
2486.wav,ate,ate
2487.wav,She suggested we all have dinner together,she suggested we all have dinner together
2488.wav,shoot,shoot
2489.wav,fit,fit
2490.wav,six,six
2491.wav,two,two
2492.wav,Stimulating discussions keep students' attention,stimulating discussions keep students attention
2493.wav,spit,spit
2494.wav,Each one volunteered to jump first,each one volunteered to jump first
2495.wav,shell,shell
2496.wav,dread,dread
2497.wav,tango,tango
2498.wav,knot,knot
2499.wav,yes,yes
2500.wav,A quick touchdown resulted,a quick touchdown resulted
2501.wav,quicker,quicker
2502.wav,The golfing fathers ruled in his favor,the golfing fathers ruled in his favor
2503.wav,wit,wit
2504.wav,forward,forward
2505.wav,bed,bed
2506.wav,We have a big house,we have a big house
2507.wav,lock,lock
2508.wav,fender,fender
2509.wav,I don't think it's a good idea,i dont think its a good idea
2510.wav,right,right
2511.wav,fort,fort
2512.wav,Yet he remains the fiercest of competitors,yet he remains the fiercest of competitors
2513.wav,five,five
2514.wav,He really crucified himself he nailed it for a yard loss,he really crucified himself he nailed it for a yard loss
2515.wav,So if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above
2516.wav,dock,dock
2517.wav,nut,nut
2518.wav,sin,sin
2519.wav,ache,ache
2520.wav,eight,eight
2521.wav,old,old
2522.wav,ham,ham
2523.wav,yes,yes
2524.wav,I tell you it was wonderful,i tell you it was wonderful
2525.wav,Help Greg to pick a peck of potatoes,help greg to pick a peck of potatoes
2526.wav,much,much
2527.wav,beat,beat
2528.wav,That's what life is really all about,thats what life is really all about
2529.wav,litter,litter
2530.wav,rake,rake
2531.wav,snake,snake
2532.wav,bumper,bumper
2533.wav,cash,cash
2534.wav,geese,geese
2535.wav,sport,sport
2536.wav,coat,coat
2537.wav,hash,hash
2538.wav,gill,gill
2539.wav,in,in
2540.wav,sink,sink
2541.wav,menu,menu
2542.wav,dread,dread
2543.wav,beep,beep
2544.wav,geese,geese
2545.wav,I called two different painters,i called two different painters
2546.wav,We selected places where families will be welcome,we selected places where families will be welcome
2547.wav,feed,feed
2548.wav,sew,sew
2549.wav,You can ride stagecoach,you can ride stagecoach
2550.wav,They will take a wedding trip later,they will take a wedding trip later
2551.wav,ape,ape
2552.wav,eat,eat
2553.wav,meats,meats
2554.wav,meat,meat
2555.wav,goose,goose
2556.wav,Pete,pete
2557.wav,gill,gill
2558.wav,walk,walk
2559.wav,sort,sort
2560.wav,said,said
2561.wav,cheer,cheer
2562.wav,one,one
2563.wav,dice,dice
2564.wav,chair,chair
2565.wav,meat,meat
2566.wav,Whitecapped waves covered the entire bay,whitecapped waves covered the entire bay
2567.wav,romeo,romeo
2568.wav,he,he
2569.wav,nice,nice
2570.wav,ship,ship
2571.wav,seam,seam
2572.wav,hail,hail
2573.wav,timber,timber
2574.wav,liquor,liquor
2575.wav,Don't do Charlie's dirty dishes,dont do charlies dirty dishes
2576.wav,foe,foe
2577.wav,The four brothers looked identical,the four brothers looked identical
2578.wav,meat,meat
2579.wav,Coconut cream pie makes a nice dessert,coconut cream pie makes a nice dessert
2580.wav,She suggested we all have dinner together,she suggested we all have dinner together
2581.wav,Young people participate in athletic activities,young people participate in athletic activities
2582.wav,leap,leap
2583.wav,Some hotels are available nearby,some hotels are available nearby
2584.wav,a,a
2585.wav,write,write
2586.wav,cork,cork
2587.wav,Did dad do academic bidding,did dad do academic bidding
2588.wav,four,four
2589.wav,dead,dead
2590.wav,beat,beat
2591.wav,zip,zip
2592.wav,fed,fed
2593.wav,food,food
2594.wav,The results were very disappointing,the results were very disappointing
2595.wav,He took me out one day,he took me out one day
2596.wav,renter,renter
2597.wav,lee,lee
2598.wav,victor,victor
2599.wav,nice,nice
2600.wav,tin,tin
2601.wav,reap,reap
2602.wav,It was very popular with our fans,it was very popular with our fans
2603.wav,in,in
2604.wav,You want him to do well,you want him to do well
2605.wav,The pair of shoes was new,the pair of shoes was new
2606.wav,rip,rip
2607.wav,catch,catch
2608.wav,witch,witch
2609.wav,Her dark hair is combed casually,her dark hair is combed casually
2610.wav,sell,sell
2611.wav,toe,toe
2612.wav,show,show
2613.wav,sand,sand
2614.wav,ash,ash
2615.wav,port,port
2616.wav,The hotel owner shrugged,the hotel owner shrugged
2617.wav,There was only one decision to be made,there was only one decision to be made
2618.wav,hand,hand
2619.wav,sip,sip
2620.wav,ray,ray
2621.wav,We just don't,we just dont
2622.wav,Do they make any money,do they make any money
2623.wav,said,said
2624.wav,weep,weep
2625.wav,In fact our whole defensive unit did a good job,in fact our whole defensive unit did a good job
2626.wav,ember,ember
2627.wav,up,up
2628.wav,gas,gas
2629.wav,shoot,shoot
2630.wav,He played basketball there while working toward a law degree,he played basketball there while working toward a law degree
2631.wav,Etiquette mandates compliance with existing regulations,etiquette mandates compliance with existing regulations
2632.wav,nice,nice
2633.wav,Addition and subtraction are learned skills,addition and subtraction are learned skills
2634.wav,Beg that guard for one gallon of gas,beg that guard for one gallon of gas
2635.wav,lip,lip
2636.wav,thread,thread
2637.wav,shop,shop
2638.wav,It's fun to roast marshmallows on a gas burner,its fun to roast marshmallows on a gas burner
2639.wav,chip,chip
2640.wav,Although always alone we survive,although always alone we survive
2641.wav,sing,sing
2642.wav,sew,sew
2643.wav,spit,spit
2644.wav,woe,woe
2645.wav,night,night
2646.wav,He really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss
2647.wav,seven,seven
2648.wav,knife,knife
2649.wav,side,side
2650.wav,neat,neat
2651.wav,uniform,uniform
2652.wav,cakes,cakes
2653.wav,chop,chop
2654.wav,zulu,zulu
2655.wav,People who value themselves are life's winners,people who value themselves are lifes winners
2656.wav,The hotel owner struggled,the hotel owner struggled
2657.wav,Her position covers a number of daily tasks common to any social director,her position covers a number of daily tasks common to any social director
2658.wav,He asked you for a loan,he asked you for a loan
2659.wav,rest,rest
2660.wav,nine,nine
2661.wav,sheet,sheet
2662.wav,Elderly people are often excluded,elderly people are often excluded
2663.wav,xray,xray
2664.wav,heat,heat
2665.wav,reap,reap
2666.wav,stretch,stretch
2667.wav,eight,eight
2668.wav,At twilight on the twelfth day we'll have Chablis,at twilight on the twelfth day well have chablis
2669.wav,zero,zero
2670.wav,lend,lend
2671.wav,bill,bill
2672.wav,We bought a brown chair,we bought a brown chair
2673.wav,six,six
2674.wav,sin,sin
2675.wav,seven,seven
2676.wav,Etiquette mandates compliance with existing regulations,etiquette mandates compliance with existing regulations
2677.wav,I was pleased with the way things went,i was pleased with the way things went
2678.wav,A good attitude is unbeatable,a good attitude is unbeatable
2679.wav,hand,hand
2680.wav,The wait for work can be very long,the wait for work can be very long
2681.wav,guess,guess
2682.wav,sight,sight
2683.wav,Her classical performance gained critical acclaim,her classical performance gained critical acclaim
2684.wav,This is a good place though small,this is a good place though small
2685.wav,boot,boot
2686.wav,quart,quart
2687.wav,Some prefer the traditional steel kind,some prefer the traditional steel kind
2688.wav,four,four
2689.wav,fender,fender
2690.wav,goat,goat
2691.wav,Biblical scholars argue history,biblical scholars argue history
2692.wav,sketch,sketch
2693.wav,lake,lake
2694.wav,air,air
2695.wav,I also can be quite vocal,i also can be quite vocal
2696.wav,sit,sit
2697.wav,shin,shin
2698.wav,I think I'm full of this stuff,i think im full of this stuff
2699.wav,three,three
2700.wav,Being able to dance can help too,being able to dance can help too
2701.wav,tail,tail
2702.wav,Then we'd really have someplace to go,then wed really have someplace to go
2703.wav,shot,shot
2704.wav,sender,sender
2705.wav,reef,reef
2706.wav,dress,dress
2707.wav,beam,beam
2708.wav,shed,shed
2709.wav,cheer,cheer
2710.wav,Mom strongly dislikes appetizers,mom strongly dislikes appetizers
2711.wav,Ambidextrous pickpockets accomplish more,ambidextrous pickpockets accomplish more
2712.wav,threat,threat
2713.wav,sheep,sheep
2714.wav,rid,rid
2715.wav,Addition and subtraction are learned skills,addition and subtraction are learned skills
2716.wav,That pickpocket was caught redhanded,that pickpocket was caught redhanded
2717.wav,wise,wise
2718.wav,court,court
2719.wav,said,said
2720.wav,rake,rake
2721.wav,code,code
2722.wav,she,she
2723.wav,knot,knot
2724.wav,A quick touchdown resulted,a quick touchdown resulted
2725.wav,see,see
2726.wav,snort,snort
2727.wav,She doesn't like to have it hanging around,she doesnt like to have it hanging around
2728.wav,tort,tort
2729.wav,Travel is about the only leisure we have,travel is about the only leisure we have
2730.wav,eat,eat
2731.wav,center,center
2732.wav,sew,sew
2733.wav,best,best
2734.wav,blend,blend
2735.wav,fork,fork
2736.wav,flicker,flicker
2737.wav,fork,fork
2738.wav,I've kept it with me ever since,ive kept it with me ever since
2739.wav,cake,cake
2740.wav,Trespassers can be prosecuted and fined,trespassers can be prosecuted and fined
2741.wav,rock,rock
2742.wav,wicker,wicker
2743.wav,two,two
2744.wav,sea,sea
2745.wav,reap,reap
2746.wav,seat,seat
2747.wav,tea,tea
2748.wav,six,six
2749.wav,Those people are much quicker than I am,those people are much quicker than i am
2750.wav,muck,muck
2751.wav,shoot,shoot
2752.wav,him,him
2753.wav,zero,zero
2754.wav,tug,tug
2755.wav,dead,dead
2756.wav,whisky,whisky
2757.wav,Her classical performance gained critical acclaim,her classical performance gained critical acclaim
2758.wav,He is definitely a notch above us,he is definitely a notch above us
2759.wav,beef,beef
2760.wav,sheer,sheer
2761.wav,bread,bread
2762.wav,The prospect of cutting back spending is an unpleasant one for any governor,the prospect of cutting back spending is an unpleasant one for any governor
2763.wav,Who knows what you'll discover about yourself,who knows what youll discover about yourself
2764.wav,Yet he remains the fiercest of competitors,yet he remains the fiercest of competitors
2765.wav,sierra,sierra
2766.wav,lender,lender
2767.wav,bend,bend
2768.wav,red,red
2769.wav,Please open the window quickly,please open the window quickly
2770.wav,four,four
2771.wav,Those musicians harmonize marvelously,those musicians harmonize marvelously
2772.wav,row,row
2773.wav,mill,mill
2774.wav,Only lawyers love millionaires,only lawyers love millionaires
2775.wav,Basketball can be an entertaining sport,basketball can be an entertaining sport
2776.wav,cash,cash
2777.wav,hold,hold
2778.wav,thread,thread
2779.wav,nod,nod
2780.wav,dill,dill
2781.wav,sticks,sticks
2782.wav,Get a calico cat to keep,get a calico cat to keep
2783.wav,I scream to warm up my voice,i scream to warm up my voice
2784.wav,Life is short and precious,life is short and precious
2785.wav,nest,nest
2786.wav,rise,rise
2787.wav,There is definitely some ligament damage in his knee,there is definitely some ligament damage in his knee
2788.wav,Help celebrate your brother's success,help celebrate your brothers success
2789.wav,I loved every minute of it,i loved every minute of it
2790.wav,blend,blend
2791.wav,Gold can be found anywhere,gold can be found anywhere
2792.wav,nine,nine
2793.wav,member,member
2794.wav,beast,beast
2795.wav,bill,bill
2796.wav,shred,shred
2797.wav,five,five
2798.wav,tear ,tear 
2799.wav,forks,forks
2800.wav,Ned,ned
2801.wav,it,it
2802.wav,Worse luck was still to come,worse luck was still to come
2803.wav,The marriage went well from the start,the marriage went well from the start
2804.wav,ride,ride
2805.wav,Barb's gold bracelet was a graduation present,barbs gold bracelet was a graduation present
2806.wav,see,see
2807.wav,Grandmother outgrew her upbringing in petticoats,grandmother outgrew her upbringing in petticoats
2808.wav,We have an excellent team,we have an excellent team
2809.wav,litter,litter
2810.wav,bread,bread
2811.wav,The sun died at night,the sun died at night
2812.wav,read,read
2813.wav,ship,ship
2814.wav,yankee,yankee
2815.wav,leak,leak
2816.wav,Only the most accomplished artists obtain popularity,only the most accomplished artists obtain popularity
2817.wav,A fire in straw makes a quick blaze,a fire in straw makes a quick blaze
2818.wav,The fish swam across the pond,the fish swam across the pond
2819.wav,It requires no big investment,it requires no big investment
2820.wav,down,down
2821.wav,meat,meat
